,date,instrument,avg_volume
655,2023-09-07,46100_CE,24677.0
656,2023-09-08,46100_CE,52698.0
657,2023-09-11,46100_CE,68396.0
658,2023-09-12,46100_CE,150120.0
659,2023-09-13,46100_CE,1317615.0
660,2023-09-07,46100_PE,23.0
661,2023-09-08,46100_PE,206.0
662,2023-09-11,46100_PE,546.0
663,2023-09-12,46100_PE,11536.0
664,2023-09-13,46100_PE,115814.0
665,2023-09-07,46200_CE,22310.0
666,2023-09-08,46200_CE,52159.0
667,2023-09-11,46200_CE,62187.0
668,2023-09-12,46200_CE,127553.0
669,2023-09-13,46200_CE,728193.0
670,2023-09-07,46200_PE,44.0
671,2023-09-08,46200_PE,129.0
672,2023-09-11,46200_PE,461.0
673,2023-09-12,46200_PE,3965.0
674,2023-09-13,46200_PE,41881.0
675,2023-09-07,46300_CE,21195.0
676,2023-09-08,46300_CE,42488.0
677,2023-09-11,46300_CE,41824.0
678,2023-09-12,46300_CE,100529.0
679,2023-09-13,46300_CE,360184.0
680,2023-09-07,46300_PE,26.0
681,2023-09-08,46300_PE,63.0
682,2023-09-11,46300_PE,247.0
683,2023-09-12,46300_PE,1228.0
684,2023-09-13,46300_PE,14994.0
685,2023-09-07,46400_CE,17152.0
686,2023-09-08,46400_CE,40413.0
687,2023-09-11,46400_CE,39790.0
688,2023-09-12,46400_CE,72695.0
689,2023-09-13,46400_CE,230266.0
690,2023-09-11,46400_PE,125.0
691,2023-09-12,46400_PE,647.0
692,2023-09-13,46400_PE,3807.0
693,2023-09-14,43900_CE,25.0
694,2023-09-18,43900_CE,30.0
695,2023-09-20,43900_CE,81.0
696,2023-09-14,43900_PE,8723.0
697,2023-09-15,43900_PE,8120.0
698,2023-09-18,43900_PE,6611.0
699,2023-09-20,43900_PE,19654.0
700,2023-09-14,44000_CE,75.0
701,2023-09-15,44000_CE,51.0
702,2023-09-18,44000_CE,75.0
703,2023-09-20,44000_CE,1053.0
704,2023-09-14,44000_PE,41453.0
